Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Dato curioso de la pregunta
¿Qué apodo turístico recibe Durango por sus paisajes usados en películas?,Tierra del Cine,Perla Tapatía,Ciudad Blanca,La Sultana del Norte,Directores de la talla de John Huston y actores como John Wayne filmaron decenas de películas aquí.
¿Qué parque temático recuerda los escenarios de películas del oeste en Durango?,Paseo del Viejo Oeste,Xcaret,Parque Fundidora,Africam Safari,Nació originalmente como un set cinematográfico real construido en la década de los años 60.
¿Qué paraje natural de Durango es famoso por formaciones rocosas y cascadas?,Mexiquillo,Hierve el Agua,Nevado de Toluca,Cañón del Sumidero,Sus imponentes formaciones de piedra e imponentes cascadas atraen a miles de amantes del ecoturismo.
¿En qué municipio se asocia comúnmente el paraje de Mexiquillo?,Pueblo Nuevo,Gómez Palacio,Cuencamé,Lerdo,"Se ubica en plena Sierra Madre Occidental, una zona conocida por sus densos e imponentes bosques de pino."
¿Qué localidad serrana de Durango es cabecera de Pueblo Nuevo?,El Salto,Torreón,Sombrerete,Jerez,Es una zona clave para la industria maderera del estado y destaca por su clima sumamente frío en invierno.
¿A qué advocación está dedicada la Catedral Basílica Menor de Durango?,Purísima Concepción,San Francisco de Asís,Virgen de Guadalupe,San José,Su espectacular altar mayor fue diseñado por el famoso arquitecto novohispano Benigno Montoya.
¿Qué teatro histórico del centro de Durango lleva el nombre de un músico duranguense?,Teatro Ricardo Castro,Teatro Juárez,Teatro Degollado,Teatro Macedonio Alcalá,Ricardo Castro fue un prodigioso pianista y compositor considerado el mayor músico del Porfiriato.
¿Qué platillo típico se asocia mucho con Durango?,Caldillo durangueño,Cochinita pibil,Tlayuda,Cabrito al pastor,Es un delicioso guisado caldoso a base de carne de res y chiles que servía para calentar a los mineros.
¿Qué animal se usa como símbolo popular de Durango?,Alacrán,Jaguar,Quetzal,Flamenco,"A pesar de su temida fama, su veneno es estudiado hoy en día por la ciencia para crear medicamentos."
¿Cuál es la abreviatura común del estado de Durango?,Dgo.,Dgoa.,Dur.,Dra.,Es la abreviatura oficial utilizada históricamente por el servicio postal y los sistemas gubernamentales.
¿Qué actividad económica ha sido histórica en varias regiones de Durango?,Minería,Producción petrolera marina,Pesca oceánica,Cultivo de henequén,"La riqueza de sus minas de plata, plomo y zinc atrajo a colonizadores de todo el mundo desde el siglo XVI."
¿Qué región comparte Durango con Coahuila?,Comarca Lagunera,Huasteca,Mixteca,Riviera Maya,"Esta próspera región es un motor clave para el desarrollo industrial, agrícola y comercial del norte del país."
¿Qué cultivo o producto identifica popularmente a Canatlán?,Manzana,Cacao,Vainilla,Café,El municipio es líder productor en el estado y celebra anualmente su famosa e histórica Feria de la Manzana.
¿Qué reserva de la biosfera protege ecosistemas desérticos vinculados a Durango?,Mapimí,Calakmul,Sian Ka’an,El Vizcaíno,Esta inmensa reserva protege especies únicas del desierto como la famosa tortuga del Bolsón.
¿Qué camino histórico de comercio incluyó sitios de Durango?,Camino Real de Tierra Adentro,Ruta Puuc,Camino de Santiago,Ruta Maya,"Esta red comercial unía la Ciudad de México con Santa Fe, hoy en Estados Unidos."
¿Qué municipio duranguense comparte nombre con una figura de la Independencia?,Guadalupe Victoria,Benito Juárez,Miguel Hidalgo,José María Morelos,Este municipio rinde homenaje con su nombre al primer presidente de la República Mexicana.
¿Qué municipio duranguense se ubica en la zona lagunera de Durango?,Tlahualilo,Canatlán,Topia,Indé,"Su cabecera es famosa por sus extensas huertas de sandía, melón y su gran producción de alfalfa."
¿Qué ciudad duranguense se asocia con la industria y la zona metropolitana de La Laguna?,Gómez Palacio,Nombre de Dios,Canatlán,San Dimas,Es la segunda ciudad con mayor población de todo el estado y un pilar de la Comarca Lagunera.
¿Qué municipio de Durango es reconocido por sus comunidades menonitas?,Nuevo Ideal,Mezquital,Mapimí,Tamazula,Estas comunidades llegaron en la década de 1920 y revolucionaron la producción de queso y lácteos.
¿Qué tipo de construcciones históricas destacan en Nombre de Dios?,Templos coloniales,Rascacielos modernos,Castillos medievales,Pirámides mayas,Sus iglesias virreinales forman parte del itinerario cultural protegido como Patrimonio de la Humanidad.
